BI	BV	AI	AV
999.8955E-9	000.0000E+0	-999.9879E-9	-100.0000E-4
999.8938E-9	000.0000E+0	-999.9878E-9	-950.0000E-5
999.9126E-9	000.0000E+0	-999.9883E-9	-900.0000E-5
999.9063E-9	000.0000E+0	-999.9877E-9	-850.0000E-5
999.8924E-9	000.0000E+0	-999.9878E-9	-800.0000E-5
999.8961E-9	000.0000E+0	-999.9878E-9	-750.0000E-5
999.8961E-9	000.0000E+0	-999.9881E-9	-700.0000E-5
999.8855E-9	000.0000E+0	-999.9883E-9	-650.0000E-5
999.8948E-9	000.0000E+0	-999.9884E-9	-600.0000E-5
999.8968E-9	000.0000E+0	-999.9879E-9	-550.0000E-5
999.8968E-9	000.0000E+0	-999.9884E-9	-500.0000E-5
999.8834E-9	000.0000E+0	-999.9882E-9	-450.0000E-5
999.8946E-9	000.0000E+0	-999.9886E-9	-400.0000E-5
999.8977E-9	000.0000E+0	-999.9885E-9	-350.0000E-5
999.8971E-9	000.0000E+0	-999.9883E-9	-300.0000E-5
999.8969E-9	000.0000E+0	-999.9883E-9	-250.0000E-5
999.9102E-9	000.0000E+0	-999.9892E-9	-200.0000E-5
999.8968E-9	000.0000E+0	-999.9895E-9	-150.0000E-5
999.8939E-9	000.0000E+0	-999.9892E-9	-100.0000E-5
999.9026E-9	000.0000E+0	-999.9886E-9	-500.0000E-6
996.4627E-9	000.0000E+0	-996.5489E-9	000.0000E+0
963.6548E-9	000.0000E+0	-963.7471E-9	500.0000E-6
882.3839E-9	000.0000E+0	-882.4704E-9	100.0000E-5
753.3299E-9	000.0000E+0	-753.3935E-9	150.0000E-5
578.4605E-9	000.0000E+0	-578.4423E-9	200.0000E-5
367.0500E-9	000.0000E+0	-367.0186E-9	250.0000E-5
159.2439E-9	000.0000E+0	-159.2882E-9	300.0000E-5
-647.1701E-10	000.0000E+0	646.8313E-10	350.0000E-5
-333.8297E-9	000.0000E+0	333.8061E-9	400.0000E-5
-727.3570E-9	000.0000E+0	727.4881E-9	450.0000E-5
-999.9468E-9	000.0000E+0	999.9648E-9	500.0000E-5
-999.9387E-9	000.0000E+0	999.9652E-9	550.0000E-5
-999.9409E-9	000.0000E+0	999.9646E-9	600.0000E-5
-999.9487E-9	000.0000E+0	999.9641E-9	650.0000E-5
-999.9494E-9	000.0000E+0	999.9645E-9	700.0000E-5
-999.9461E-9	000.0000E+0	999.9641E-9	750.0000E-5
-999.9479E-9	000.0000E+0	999.9645E-9	800.0000E-5
-999.9515E-9	000.0000E+0	999.9654E-9	850.0000E-5
-999.9444E-9	000.0000E+0	999.9651E-9	900.0000E-5
-999.9445E-9	000.0000E+0	999.9648E-9	950.0000E-5
-999.9507E-9	000.0000E+0	999.9645E-9	100.0000E-4
