BI	BV	AI	AV
999.8915E-9	000.0000E+0	-999.9909E-9	-100.0000E-4
999.8972E-9	000.0000E+0	-999.9907E-9	-950.0000E-5
999.9127E-9	000.0000E+0	-999.9914E-9	-900.0000E-5
999.9084E-9	000.0000E+0	-999.9911E-9	-850.0000E-5
999.9123E-9	000.0000E+0	-999.9909E-9	-800.0000E-5
999.9085E-9	000.0000E+0	-999.9911E-9	-750.0000E-5
999.9142E-9	000.0000E+0	-999.9915E-9	-700.0000E-5
999.9058E-9	000.0000E+0	-999.9912E-9	-650.0000E-5
999.9108E-9	000.0000E+0	-999.9910E-9	-600.0000E-5
999.9079E-9	000.0000E+0	-999.9911E-9	-550.0000E-5
999.8980E-9	000.0000E+0	-999.9907E-9	-500.0000E-5
999.9108E-9	000.0000E+0	-999.9914E-9	-450.0000E-5
999.9005E-9	000.0000E+0	-999.9909E-9	-400.0000E-5
999.9071E-9	000.0000E+0	-999.9912E-9	-350.0000E-5
999.9095E-9	000.0000E+0	-999.9915E-9	-300.0000E-5
999.9073E-9	000.0000E+0	-999.9916E-9	-250.0000E-5
999.9040E-9	000.0000E+0	-999.9917E-9	-200.0000E-5
999.9111E-9	000.0000E+0	-999.9919E-9	-150.0000E-5
999.9068E-9	000.0000E+0	-999.9925E-9	-100.0000E-5
999.9164E-9	000.0000E+0	-999.9972E-9	-500.0000E-6
996.5792E-9	000.0000E+0	-996.6626E-9	000.0000E+0
964.3192E-9	000.0000E+0	-964.3862E-9	500.0000E-6
883.3586E-9	000.0000E+0	-883.4079E-9	100.0000E-5
754.4189E-9	000.0000E+0	-754.4263E-9	150.0000E-5
579.0112E-9	000.0000E+0	-579.0877E-9	200.0000E-5
367.1701E-9	000.0000E+0	-367.1246E-9	250.0000E-5
158.8252E-9	000.0000E+0	-158.7934E-9	300.0000E-5
-656.2875E-10	000.0000E+0	656.6111E-10	350.0000E-5
-335.8529E-9	000.0000E+0	335.9425E-9	400.0000E-5
-730.8485E-9	000.0000E+0	730.7754E-9	450.0000E-5
-999.9642E-9	000.0000E+0	999.9685E-9	500.0000E-5
-999.9602E-9	000.0000E+0	999.9690E-9	550.0000E-5
-999.9579E-9	000.0000E+0	999.9685E-9	600.0000E-5
-999.9623E-9	000.0000E+0	999.9684E-9	650.0000E-5
-999.9610E-9	000.0000E+0	999.9683E-9	700.0000E-5
-999.9579E-9	000.0000E+0	999.9684E-9	750.0000E-5
-999.9610E-9	000.0000E+0	999.9678E-9	800.0000E-5
-999.9646E-9	000.0000E+0	999.9684E-9	850.0000E-5
-999.9671E-9	000.0000E+0	999.9687E-9	900.0000E-5
-999.9632E-9	000.0000E+0	999.9683E-9	950.0000E-5
-999.9593E-9	000.0000E+0	999.9681E-9	100.0000E-4
