BI	BV	AI	AV
999.9102E-9	000.0000E+0	-999.9893E-9	-100.0000E-4
999.8981E-9	000.0000E+0	-999.9893E-9	-950.0000E-5
999.8962E-9	000.0000E+0	-999.9889E-9	-900.0000E-5
999.9003E-9	000.0000E+0	-999.9899E-9	-850.0000E-5
999.8955E-9	000.0000E+0	-999.9895E-9	-800.0000E-5
999.8967E-9	000.0000E+0	-999.9893E-9	-750.0000E-5
999.8998E-9	000.0000E+0	-999.9893E-9	-700.0000E-5
999.9031E-9	000.0000E+0	-999.9900E-9	-650.0000E-5
999.9050E-9	000.0000E+0	-999.9898E-9	-600.0000E-5
999.8890E-9	000.0000E+0	-999.9895E-9	-550.0000E-5
999.9011E-9	000.0000E+0	-999.9897E-9	-500.0000E-5
999.8961E-9	000.0000E+0	-999.9899E-9	-450.0000E-5
999.8962E-9	000.0000E+0	-999.9902E-9	-400.0000E-5
999.8884E-9	000.0000E+0	-999.9895E-9	-350.0000E-5
999.8952E-9	000.0000E+0	-999.9898E-9	-300.0000E-5
999.8976E-9	000.0000E+0	-999.9897E-9	-250.0000E-5
999.9038E-9	000.0000E+0	-999.9895E-9	-200.0000E-5
999.8965E-9	000.0000E+0	-999.9906E-9	-150.0000E-5
999.9121E-9	000.0000E+0	-999.9947E-9	-100.0000E-5
999.9032E-9	000.0000E+0	-999.9949E-9	-500.0000E-6
995.9848E-9	000.0000E+0	-996.0739E-9	000.0000E+0
963.1177E-9	000.0000E+0	-963.1926E-9	500.0000E-6
881.1535E-9	000.0000E+0	-881.2472E-9	100.0000E-5
751.0492E-9	000.0000E+0	-751.0655E-9	150.0000E-5
575.0190E-9	000.0000E+0	-575.0137E-9	200.0000E-5
363.2035E-9	000.0000E+0	-363.1674E-9	250.0000E-5
155.8040E-9	000.0000E+0	-155.7616E-9	300.0000E-5
-690.1953E-10	000.0000E+0	689.9057E-10	350.0000E-5
-339.6196E-9	000.0000E+0	339.7268E-9	400.0000E-5
-734.9111E-9	000.0000E+0	735.0378E-9	450.0000E-5
-999.9472E-9	000.0000E+0	999.9666E-9	500.0000E-5
-999.9469E-9	000.0000E+0	999.9657E-9	550.0000E-5
-999.9499E-9	000.0000E+0	999.9659E-9	600.0000E-5
-999.9541E-9	000.0000E+0	999.9659E-9	650.0000E-5
-999.9532E-9	000.0000E+0	999.9661E-9	700.0000E-5
-999.9494E-9	000.0000E+0	999.9660E-9	750.0000E-5
-999.9499E-9	000.0000E+0	999.9666E-9	800.0000E-5
-999.9461E-9	000.0000E+0	999.9663E-9	850.0000E-5
-999.9501E-9	000.0000E+0	999.9659E-9	900.0000E-5
-999.9534E-9	000.0000E+0	999.9659E-9	950.0000E-5
-999.9505E-9	000.0000E+0	999.9659E-9	100.0000E-4
