BI	BV	AI	AV
999.8832E-9	000.0000E+0	-999.9862E-9	-100.0000E-4
999.8953E-9	000.0000E+0	-999.9873E-9	-950.0000E-5
999.8845E-9	000.0000E+0	-999.9866E-9	-900.0000E-5
999.8878E-9	000.0000E+0	-999.9865E-9	-850.0000E-5
999.8946E-9	000.0000E+0	-999.9869E-9	-800.0000E-5
999.8956E-9	000.0000E+0	-999.9864E-9	-750.0000E-5
999.8909E-9	000.0000E+0	-999.9870E-9	-700.0000E-5
999.8942E-9	000.0000E+0	-999.9869E-9	-650.0000E-5
999.8955E-9	000.0000E+0	-999.9867E-9	-600.0000E-5
999.8967E-9	000.0000E+0	-999.9874E-9	-550.0000E-5
999.8979E-9	000.0000E+0	-999.9876E-9	-500.0000E-5
999.8965E-9	000.0000E+0	-999.9873E-9	-450.0000E-5
999.8960E-9	000.0000E+0	-999.9867E-9	-400.0000E-5
999.8980E-9	000.0000E+0	-999.9873E-9	-350.0000E-5
999.8976E-9	000.0000E+0	-999.9874E-9	-300.0000E-5
999.8884E-9	000.0000E+0	-999.9865E-9	-250.0000E-5
999.8944E-9	000.0000E+0	-999.9874E-9	-200.0000E-5
999.8904E-9	000.0000E+0	-999.9868E-9	-150.0000E-5
999.9051E-9	000.0000E+0	-999.9901E-9	-100.0000E-5
999.9028E-9	000.0000E+0	-999.9914E-9	-500.0000E-6
996.4692E-9	000.0000E+0	-996.5632E-9	000.0000E+0
963.9330E-9	000.0000E+0	-964.0282E-9	500.0000E-6
882.2309E-9	000.0000E+0	-882.3172E-9	100.0000E-5
752.2549E-9	000.0000E+0	-752.3302E-9	150.0000E-5
576.2784E-9	000.0000E+0	-576.3338E-9	200.0000E-5
364.4720E-9	000.0000E+0	-364.5099E-9	250.0000E-5
156.6747E-9	000.0000E+0	-156.7100E-9	300.0000E-5
-682.6360E-10	000.0000E+0	682.2012E-10	350.0000E-5
-339.2070E-9	000.0000E+0	339.1658E-9	400.0000E-5
-734.8434E-9	000.0000E+0	734.8130E-9	450.0000E-5
-999.9659E-9	000.0000E+0	999.9654E-9	500.0000E-5
-999.9544E-9	000.0000E+0	999.9652E-9	550.0000E-5
-999.9560E-9	000.0000E+0	999.9649E-9	600.0000E-5
-999.9594E-9	000.0000E+0	999.9652E-9	650.0000E-5
-999.9607E-9	000.0000E+0	999.9650E-9	700.0000E-5
-999.9650E-9	000.0000E+0	999.9650E-9	750.0000E-5
-999.9600E-9	000.0000E+0	999.9650E-9	800.0000E-5
-999.9660E-9	000.0000E+0	999.9654E-9	850.0000E-5
-999.9632E-9	000.0000E+0	999.9657E-9	900.0000E-5
-999.9624E-9	000.0000E+0	999.9652E-9	950.0000E-5
-999.9652E-9	000.0000E+0	999.9652E-9	100.0000E-4
