BI	BV	AI	AV
999.8977E-9	000.0000E+0	-999.9882E-9	-100.0000E-4
999.8957E-9	000.0000E+0	-999.9882E-9	-950.0000E-5
999.8849E-9	000.0000E+0	-999.9878E-9	-900.0000E-5
999.8970E-9	000.0000E+0	-999.9881E-9	-850.0000E-5
999.8872E-9	000.0000E+0	-999.9882E-9	-800.0000E-5
999.8960E-9	000.0000E+0	-999.9877E-9	-750.0000E-5
999.8787E-9	000.0000E+0	-999.9878E-9	-700.0000E-5
999.8957E-9	000.0000E+0	-999.9879E-9	-650.0000E-5
999.8917E-9	000.0000E+0	-999.9886E-9	-600.0000E-5
999.8879E-9	000.0000E+0	-999.9885E-9	-550.0000E-5
999.8990E-9	000.0000E+0	-999.9885E-9	-500.0000E-5
999.8955E-9	000.0000E+0	-999.9885E-9	-450.0000E-5
999.8955E-9	000.0000E+0	-999.9885E-9	-400.0000E-5
999.8957E-9	000.0000E+0	-999.9886E-9	-350.0000E-5
999.8944E-9	000.0000E+0	-999.9889E-9	-300.0000E-5
999.9001E-9	000.0000E+0	-999.9885E-9	-250.0000E-5
999.8960E-9	000.0000E+0	-999.9890E-9	-200.0000E-5
999.8940E-9	000.0000E+0	-999.9882E-9	-150.0000E-5
999.8948E-9	000.0000E+0	-999.9886E-9	-100.0000E-5
999.8922E-9	000.0000E+0	-999.9860E-9	-500.0000E-6
996.0683E-9	000.0000E+0	-996.1634E-9	000.0000E+0
964.0448E-9	000.0000E+0	-964.1443E-9	500.0000E-6
883.5663E-9	000.0000E+0	-883.6170E-9	100.0000E-5
754.7707E-9	000.0000E+0	-754.8036E-9	150.0000E-5
579.7475E-9	000.0000E+0	-579.7434E-9	200.0000E-5
368.0921E-9	000.0000E+0	-368.1514E-9	250.0000E-5
160.1326E-9	000.0000E+0	-160.1718E-9	300.0000E-5
-642.4202E-10	000.0000E+0	642.8967E-10	350.0000E-5
-334.2415E-9	000.0000E+0	334.3239E-9	400.0000E-5
-728.6871E-9	000.0000E+0	728.7786E-9	450.0000E-5
-999.9669E-9	000.0000E+0	999.9656E-9	500.0000E-5
-999.9578E-9	000.0000E+0	999.9659E-9	550.0000E-5
-999.9644E-9	000.0000E+0	999.9663E-9	600.0000E-5
-999.9607E-9	000.0000E+0	999.9661E-9	650.0000E-5
-999.9684E-9	000.0000E+0	999.9657E-9	700.0000E-5
-999.9661E-9	000.0000E+0	999.9657E-9	750.0000E-5
-999.9694E-9	000.0000E+0	999.9658E-9	800.0000E-5
-999.9690E-9	000.0000E+0	999.9657E-9	850.0000E-5
-999.9659E-9	000.0000E+0	999.9661E-9	900.0000E-5
-999.9694E-9	000.0000E+0	999.9656E-9	950.0000E-5
-999.9698E-9	000.0000E+0	999.9654E-9	100.0000E-4
