BI	BV	AI	AV
999.8963E-9	000.0000E+0	-999.9868E-9	-100.0000E-4
999.9022E-9	000.0000E+0	-999.9874E-9	-950.0000E-5
999.8996E-9	000.0000E+0	-999.9870E-9	-900.0000E-5
999.9097E-9	000.0000E+0	-999.9870E-9	-850.0000E-5
999.9092E-9	000.0000E+0	-999.9872E-9	-800.0000E-5
999.8972E-9	000.0000E+0	-999.9869E-9	-750.0000E-5
999.8936E-9	000.0000E+0	-999.9875E-9	-700.0000E-5
999.8997E-9	000.0000E+0	-999.9874E-9	-650.0000E-5
999.8977E-9	000.0000E+0	-999.9872E-9	-600.0000E-5
999.8936E-9	000.0000E+0	-999.9876E-9	-550.0000E-5
999.8993E-9	000.0000E+0	-999.9874E-9	-500.0000E-5
999.8929E-9	000.0000E+0	-999.9874E-9	-450.0000E-5
999.9003E-9	000.0000E+0	-999.9879E-9	-400.0000E-5
999.9001E-9	000.0000E+0	-999.9878E-9	-350.0000E-5
999.9036E-9	000.0000E+0	-999.9875E-9	-300.0000E-5
999.9071E-9	000.0000E+0	-999.9876E-9	-250.0000E-5
999.8982E-9	000.0000E+0	-999.9879E-9	-200.0000E-5
999.9084E-9	000.0000E+0	-999.9886E-9	-150.0000E-5
999.9078E-9	000.0000E+0	-999.9901E-9	-100.0000E-5
999.9042E-9	000.0000E+0	-999.9882E-9	-500.0000E-6
996.0075E-9	000.0000E+0	-996.0933E-9	000.0000E+0
963.2433E-9	000.0000E+0	-963.3096E-9	500.0000E-6
881.5368E-9	000.0000E+0	-881.6256E-9	100.0000E-5
751.8950E-9	000.0000E+0	-751.9629E-9	150.0000E-5
576.0058E-9	000.0000E+0	-575.9891E-9	200.0000E-5
364.4080E-9	000.0000E+0	-364.3687E-9	250.0000E-5
156.6658E-9	000.0000E+0	-156.6427E-9	300.0000E-5
-678.4139E-10	000.0000E+0	677.9658E-10	350.0000E-5
-338.6509E-9	000.0000E+0	338.6096E-9	400.0000E-5
-733.7198E-9	000.0000E+0	733.8380E-9	450.0000E-5
-999.9618E-9	000.0000E+0	999.9659E-9	500.0000E-5
-999.9527E-9	000.0000E+0	999.9659E-9	550.0000E-5
-999.9605E-9	000.0000E+0	999.9651E-9	600.0000E-5
-999.9584E-9	000.0000E+0	999.9654E-9	650.0000E-5
-999.9598E-9	000.0000E+0	999.9652E-9	700.0000E-5
-999.9584E-9	000.0000E+0	999.9649E-9	750.0000E-5
-999.9578E-9	000.0000E+0	999.9650E-9	800.0000E-5
-999.9519E-9	000.0000E+0	999.9656E-9	850.0000E-5
-999.9515E-9	000.0000E+0	999.9648E-9	900.0000E-5
-999.9553E-9	000.0000E+0	999.9648E-9	950.0000E-5
-999.9558E-9	000.0000E+0	999.9650E-9	100.0000E-4
