BI	BV	AI	AV
999.9036E-9	000.0000E+0	-999.9909E-9	-100.0000E-4
999.9106E-9	000.0000E+0	-999.9912E-9	-950.0000E-5
999.9205E-9	000.0000E+0	-999.9915E-9	-900.0000E-5
999.9100E-9	000.0000E+0	-999.9910E-9	-850.0000E-5
999.9141E-9	000.0000E+0	-999.9911E-9	-800.0000E-5
999.9134E-9	000.0000E+0	-999.9911E-9	-750.0000E-5
999.9279E-9	000.0000E+0	-999.9916E-9	-700.0000E-5
999.9272E-9	000.0000E+0	-999.9922E-9	-650.0000E-5
999.9128E-9	000.0000E+0	-999.9914E-9	-600.0000E-5
999.9229E-9	000.0000E+0	-999.9919E-9	-550.0000E-5
999.9197E-9	000.0000E+0	-999.9917E-9	-500.0000E-5
999.9238E-9	000.0000E+0	-999.9916E-9	-450.0000E-5
999.9136E-9	000.0000E+0	-999.9909E-9	-400.0000E-5
999.9201E-9	000.0000E+0	-999.9912E-9	-350.0000E-5
999.9129E-9	000.0000E+0	-999.9918E-9	-300.0000E-5
999.9126E-9	000.0000E+0	-999.9912E-9	-250.0000E-5
999.9108E-9	000.0000E+0	-999.9915E-9	-200.0000E-5
999.9249E-9	000.0000E+0	-999.9928E-9	-150.0000E-5
999.9203E-9	000.0000E+0	-999.9941E-9	-100.0000E-5
999.9148E-9	000.0000E+0	-999.9968E-9	-500.0000E-6
995.2889E-9	000.0000E+0	-995.3638E-9	000.0000E+0
961.7305E-9	000.0000E+0	-961.8080E-9	500.0000E-6
879.4087E-9	000.0000E+0	-879.4769E-9	100.0000E-5
748.6126E-9	000.0000E+0	-748.6200E-9	150.0000E-5
571.9764E-9	000.0000E+0	-572.0227E-9	200.0000E-5
360.1567E-9	000.0000E+0	-360.1971E-9	250.0000E-5
153.0292E-9	000.0000E+0	-153.0555E-9	300.0000E-5
-712.2424E-10	000.0000E+0	711.9197E-10	350.0000E-5
-341.6121E-9	000.0000E+0	341.7010E-9	400.0000E-5
-736.0909E-9	000.0000E+0	736.0301E-9	450.0000E-5
-999.9633E-9	000.0000E+0	999.9685E-9	500.0000E-5
-999.9574E-9	000.0000E+0	999.9683E-9	550.0000E-5
-999.9586E-9	000.0000E+0	999.9677E-9	600.0000E-5
-999.9613E-9	000.0000E+0	999.9677E-9	650.0000E-5
-999.9595E-9	000.0000E+0	999.9678E-9	700.0000E-5
-999.9623E-9	000.0000E+0	999.9675E-9	750.0000E-5
-999.9617E-9	000.0000E+0	999.9678E-9	800.0000E-5
-999.9645E-9	000.0000E+0	999.9678E-9	850.0000E-5
-999.9659E-9	000.0000E+0	999.9685E-9	900.0000E-5
-999.9601E-9	000.0000E+0	999.9682E-9	950.0000E-5
-999.9603E-9	000.0000E+0	999.9681E-9	100.0000E-4
