BI	BV	AI	AV
999.8847E-9	000.0000E+0	-999.9891E-9	-100.0000E-4
999.8793E-9	000.0000E+0	-999.9891E-9	-950.0000E-5
999.9015E-9	000.0000E+0	-999.9895E-9	-900.0000E-5
999.8876E-9	000.0000E+0	-999.9891E-9	-850.0000E-5
999.8830E-9	000.0000E+0	-999.9889E-9	-800.0000E-5
999.8887E-9	000.0000E+0	-999.9893E-9	-750.0000E-5
999.8961E-9	000.0000E+0	-999.9897E-9	-700.0000E-5
999.8948E-9	000.0000E+0	-999.9895E-9	-650.0000E-5
999.8917E-9	000.0000E+0	-999.9892E-9	-600.0000E-5
999.8786E-9	000.0000E+0	-999.9895E-9	-550.0000E-5
999.8938E-9	000.0000E+0	-999.9893E-9	-500.0000E-5
999.9070E-9	000.0000E+0	-999.9895E-9	-450.0000E-5
999.9006E-9	000.0000E+0	-999.9895E-9	-400.0000E-5
999.8973E-9	000.0000E+0	-999.9890E-9	-350.0000E-5
999.8951E-9	000.0000E+0	-999.9892E-9	-300.0000E-5
999.8948E-9	000.0000E+0	-999.9897E-9	-250.0000E-5
999.8970E-9	000.0000E+0	-999.9902E-9	-200.0000E-5
999.9056E-9	000.0000E+0	-999.9911E-9	-150.0000E-5
999.8934E-9	000.0000E+0	-999.9904E-9	-100.0000E-5
999.9032E-9	000.0000E+0	-999.9937E-9	-500.0000E-6
996.8126E-9	000.0000E+0	-996.8982E-9	000.0000E+0
964.6869E-9	000.0000E+0	-964.7634E-9	500.0000E-6
884.2838E-9	000.0000E+0	-884.3336E-9	100.0000E-5
755.6724E-9	000.0000E+0	-755.7570E-9	150.0000E-5
580.5892E-9	000.0000E+0	-580.6353E-9	200.0000E-5
369.2187E-9	000.0000E+0	-369.1837E-9	250.0000E-5
161.0748E-9	000.0000E+0	-161.0332E-9	300.0000E-5
-633.6878E-10	000.0000E+0	634.0661E-10	350.0000E-5
-332.7588E-9	000.0000E+0	332.7113E-9	400.0000E-5
-726.5700E-9	000.0000E+0	726.5055E-9	450.0000E-5
-999.9554E-9	000.0000E+0	999.9656E-9	500.0000E-5
-999.9546E-9	000.0000E+0	999.9654E-9	550.0000E-5
-999.9553E-9	000.0000E+0	999.9652E-9	600.0000E-5
-999.9496E-9	000.0000E+0	999.9651E-9	650.0000E-5
-999.9509E-9	000.0000E+0	999.9648E-9	700.0000E-5
-999.9567E-9	000.0000E+0	999.9649E-9	750.0000E-5
-999.9519E-9	000.0000E+0	999.9648E-9	800.0000E-5
-999.9591E-9	000.0000E+0	999.9652E-9	850.0000E-5
-999.9602E-9	000.0000E+0	999.9651E-9	900.0000E-5
-999.9565E-9	000.0000E+0	999.9649E-9	950.0000E-5
-999.9542E-9	000.0000E+0	999.9650E-9	100.0000E-4
