BI	BV	AI	AV
999.8836E-9	000.0000E+0	-999.9874E-9	-100.0000E-4
999.8778E-9	000.0000E+0	-999.9877E-9	-950.0000E-5
999.8940E-9	000.0000E+0	-999.9878E-9	-900.0000E-5
999.8961E-9	000.0000E+0	-999.9884E-9	-850.0000E-5
999.8854E-9	000.0000E+0	-999.9885E-9	-800.0000E-5
999.8927E-9	000.0000E+0	-999.9889E-9	-750.0000E-5
999.8816E-9	000.0000E+0	-999.9889E-9	-700.0000E-5
999.8943E-9	000.0000E+0	-999.9883E-9	-650.0000E-5
999.8962E-9	000.0000E+0	-999.9884E-9	-600.0000E-5
999.8947E-9	000.0000E+0	-999.9889E-9	-550.0000E-5
999.8840E-9	000.0000E+0	-999.9883E-9	-500.0000E-5
999.8952E-9	000.0000E+0	-999.9882E-9	-450.0000E-5
999.8977E-9	000.0000E+0	-999.9891E-9	-400.0000E-5
999.8972E-9	000.0000E+0	-999.9885E-9	-350.0000E-5
999.8886E-9	000.0000E+0	-999.9890E-9	-300.0000E-5
999.8965E-9	000.0000E+0	-999.9889E-9	-250.0000E-5
999.8936E-9	000.0000E+0	-999.9885E-9	-200.0000E-5
999.8975E-9	000.0000E+0	-999.9891E-9	-150.0000E-5
999.8924E-9	000.0000E+0	-999.9932E-9	-100.0000E-5
999.8985E-9	000.0000E+0	-999.9951E-9	-500.0000E-6
996.1985E-9	000.0000E+0	-996.2956E-9	000.0000E+0
963.8533E-9	000.0000E+0	-963.9326E-9	500.0000E-6
882.6312E-9	000.0000E+0	-882.6970E-9	100.0000E-5
753.4034E-9	000.0000E+0	-753.4382E-9	150.0000E-5
577.9169E-9	000.0000E+0	-577.8437E-9	200.0000E-5
366.6107E-9	000.0000E+0	-366.5942E-9	250.0000E-5
158.7977E-9	000.0000E+0	-158.8342E-9	300.0000E-5
-654.9901E-10	000.0000E+0	655.1348E-10	350.0000E-5
-335.1109E-9	000.0000E+0	335.2004E-9	400.0000E-5
-729.1341E-9	000.0000E+0	729.2512E-9	450.0000E-5
-999.9565E-9	000.0000E+0	999.9654E-9	500.0000E-5
-999.9497E-9	000.0000E+0	999.9648E-9	550.0000E-5
-999.9521E-9	000.0000E+0	999.9652E-9	600.0000E-5
-999.9515E-9	000.0000E+0	999.9648E-9	650.0000E-5
-999.9511E-9	000.0000E+0	999.9651E-9	700.0000E-5
-999.9515E-9	000.0000E+0	999.9645E-9	750.0000E-5
-999.9538E-9	000.0000E+0	999.9645E-9	800.0000E-5
-999.9555E-9	000.0000E+0	999.9650E-9	850.0000E-5
-999.9509E-9	000.0000E+0	999.9652E-9	900.0000E-5
-999.9508E-9	000.0000E+0	999.9646E-9	950.0000E-5
-999.9545E-9	000.0000E+0	999.9648E-9	100.0000E-4
