BI	BV	AI	AV
999.8802E-9	000.0000E+0	-999.9893E-9	-100.0000E-4
999.8836E-9	000.0000E+0	-999.9892E-9	-950.0000E-5
999.8845E-9	000.0000E+0	-999.9898E-9	-900.0000E-5
999.8931E-9	000.0000E+0	-999.9900E-9	-850.0000E-5
999.8797E-9	000.0000E+0	-999.9893E-9	-800.0000E-5
999.8943E-9	000.0000E+0	-999.9904E-9	-750.0000E-5
999.8836E-9	000.0000E+0	-999.9898E-9	-700.0000E-5
999.8907E-9	000.0000E+0	-999.9900E-9	-650.0000E-5
999.8842E-9	000.0000E+0	-999.9900E-9	-600.0000E-5
999.8838E-9	000.0000E+0	-999.9899E-9	-550.0000E-5
999.8829E-9	000.0000E+0	-999.9899E-9	-500.0000E-5
999.8923E-9	000.0000E+0	-999.9899E-9	-450.0000E-5
999.8939E-9	000.0000E+0	-999.9903E-9	-400.0000E-5
999.8860E-9	000.0000E+0	-999.9903E-9	-350.0000E-5
999.8938E-9	000.0000E+0	-999.9904E-9	-300.0000E-5
999.8932E-9	000.0000E+0	-999.9907E-9	-250.0000E-5
999.8778E-9	000.0000E+0	-999.9899E-9	-200.0000E-5
999.8838E-9	000.0000E+0	-999.9898E-9	-150.0000E-5
999.8922E-9	000.0000E+0	-999.9953E-9	-100.0000E-5
999.9001E-9	000.0000E+0	-999.9985E-9	-500.0000E-6
995.7467E-9	000.0000E+0	-995.8418E-9	000.0000E+0
963.0467E-9	000.0000E+0	-963.1445E-9	500.0000E-6
881.5359E-9	000.0000E+0	-881.6335E-9	100.0000E-5
751.7114E-9	000.0000E+0	-751.7431E-9	150.0000E-5
575.3277E-9	000.0000E+0	-575.3944E-9	200.0000E-5
363.7863E-9	000.0000E+0	-363.8542E-9	250.0000E-5
156.4797E-9	000.0000E+0	-156.4566E-9	300.0000E-5
-677.4294E-10	000.0000E+0	677.9990E-10	350.0000E-5
-338.6091E-9	000.0000E+0	338.5852E-9	400.0000E-5
-733.6248E-9	000.0000E+0	733.5977E-9	450.0000E-5
-999.9651E-9	000.0000E+0	999.9667E-9	500.0000E-5
-999.9682E-9	000.0000E+0	999.9668E-9	550.0000E-5
-999.9637E-9	000.0000E+0	999.9661E-9	600.0000E-5
-999.9681E-9	000.0000E+0	999.9666E-9	650.0000E-5
-999.9681E-9	000.0000E+0	999.9665E-9	700.0000E-5
-999.9640E-9	000.0000E+0	999.9661E-9	750.0000E-5
-999.9651E-9	000.0000E+0	999.9662E-9	800.0000E-5
-999.9679E-9	000.0000E+0	999.9666E-9	850.0000E-5
-999.9611E-9	000.0000E+0	999.9666E-9	900.0000E-5
-999.9610E-9	000.0000E+0	999.9660E-9	950.0000E-5
-999.9632E-9	000.0000E+0	999.9663E-9	100.0000E-4
