BI	BV	AI	AV
999.9117E-9	000.0000E+0	-999.9929E-9	-100.0000E-4
999.9113E-9	000.0000E+0	-999.9933E-9	-950.0000E-5
999.9155E-9	000.0000E+0	-999.9929E-9	-900.0000E-5
999.9120E-9	000.0000E+0	-999.9928E-9	-850.0000E-5
999.9068E-9	000.0000E+0	-999.9935E-9	-800.0000E-5
999.9038E-9	000.0000E+0	-999.9931E-9	-750.0000E-5
999.9150E-9	000.0000E+0	-999.9934E-9	-700.0000E-5
999.9129E-9	000.0000E+0	-999.9939E-9	-650.0000E-5
999.9117E-9	000.0000E+0	-999.9931E-9	-600.0000E-5
999.9143E-9	000.0000E+0	-999.9934E-9	-550.0000E-5
999.9198E-9	000.0000E+0	-999.9933E-9	-500.0000E-5
999.9136E-9	000.0000E+0	-999.9935E-9	-450.0000E-5
999.9217E-9	000.0000E+0	-999.9933E-9	-400.0000E-5
999.9153E-9	000.0000E+0	-999.9936E-9	-350.0000E-5
999.9065E-9	000.0000E+0	-999.9937E-9	-300.0000E-5
999.9141E-9	000.0000E+0	-999.9935E-9	-250.0000E-5
999.9128E-9	000.0000E+0	-999.9937E-9	-200.0000E-5
999.9196E-9	000.0000E+0	-999.9949E-9	-150.0000E-5
999.9184E-9	000.0000E+0	-999.9967E-9	-100.0000E-5
999.9042E-9	000.0000E+0	-999.9947E-9	-500.0000E-6
995.6337E-9	000.0000E+0	-995.7081E-9	000.0000E+0
961.9129E-9	000.0000E+0	-961.9829E-9	500.0000E-6
880.0323E-9	000.0000E+0	-880.0623E-9	100.0000E-5
750.3458E-9	000.0000E+0	-750.3489E-9	150.0000E-5
573.7625E-9	000.0000E+0	-573.7508E-9	200.0000E-5
361.6521E-9	000.0000E+0	-361.7000E-9	250.0000E-5
154.1193E-9	000.0000E+0	-154.1445E-9	300.0000E-5
-699.3819E-10	000.0000E+0	699.9353E-10	350.0000E-5
-341.0300E-9	000.0000E+0	341.1178E-9	400.0000E-5
-736.0543E-9	000.0000E+0	736.1579E-9	450.0000E-5
-999.9674E-9	000.0000E+0	999.9708E-9	500.0000E-5
-999.9569E-9	000.0000E+0	999.9702E-9	550.0000E-5
-999.9649E-9	000.0000E+0	999.9712E-9	600.0000E-5
-999.9603E-9	000.0000E+0	999.9701E-9	650.0000E-5
-999.9596E-9	000.0000E+0	999.9708E-9	700.0000E-5
-999.9610E-9	000.0000E+0	999.9704E-9	750.0000E-5
-999.9609E-9	000.0000E+0	999.9701E-9	800.0000E-5
-999.9625E-9	000.0000E+0	999.9707E-9	850.0000E-5
-999.9585E-9	000.0000E+0	999.9703E-9	900.0000E-5
-999.9609E-9	000.0000E+0	999.9703E-9	950.0000E-5
-999.9661E-9	000.0000E+0	999.9708E-9	100.0000E-4
