BI	BV	AI	AV
999.9218E-9	000.0000E+0	-999.9945E-9	-100.0000E-4
999.9231E-9	000.0000E+0	-999.9945E-9	-950.0000E-5
999.9152E-9	000.0000E+0	-999.9942E-9	-900.0000E-5
999.9261E-9	000.0000E+0	-999.9947E-9	-850.0000E-5
999.9260E-9	000.0000E+0	-999.9945E-9	-800.0000E-5
999.9263E-9	000.0000E+0	-999.9947E-9	-750.0000E-5
999.9087E-9	000.0000E+0	-999.9943E-9	-700.0000E-5
999.9203E-9	000.0000E+0	-999.9951E-9	-650.0000E-5
999.9152E-9	000.0000E+0	-999.9942E-9	-600.0000E-5
999.9225E-9	000.0000E+0	-999.9948E-9	-550.0000E-5
999.9253E-9	000.0000E+0	-999.9947E-9	-500.0000E-5
999.9239E-9	000.0000E+0	-999.9950E-9	-450.0000E-5
999.9192E-9	000.0000E+0	-999.9947E-9	-400.0000E-5
999.9280E-9	000.0000E+0	-999.9949E-9	-350.0000E-5
999.9350E-9	000.0000E+0	-999.9947E-9	-300.0000E-5
999.9255E-9	000.0000E+0	-999.9952E-9	-250.0000E-5
999.9227E-9	000.0000E+0	-999.9949E-9	-200.0000E-5
999.9260E-9	000.0000E+0	-999.9958E-9	-150.0000E-5
999.9329E-9	000.0000E+0	-999.9998E-9	-100.0000E-5
999.9293E-9	000.0000E+0	-100.0003E-8	-500.0000E-6
995.7139E-9	000.0000E+0	-995.7870E-9	000.0000E+0
963.0058E-9	000.0000E+0	-963.0827E-9	500.0000E-6
881.0871E-9	000.0000E+0	-881.1236E-9	100.0000E-5
751.7182E-9	000.0000E+0	-751.7226E-9	150.0000E-5
576.0580E-9	000.0000E+0	-576.0396E-9	200.0000E-5
364.7023E-9	000.0000E+0	-364.6611E-9	250.0000E-5
156.5023E-9	000.0000E+0	-156.5371E-9	300.0000E-5
-679.3219E-10	000.0000E+0	679.9421E-10	350.0000E-5
-338.7188E-9	000.0000E+0	338.8102E-9	400.0000E-5
-733.7458E-9	000.0000E+0	733.8581E-9	450.0000E-5
-999.9676E-9	000.0000E+0	999.9717E-9	500.0000E-5
-999.9623E-9	000.0000E+0	999.9719E-9	550.0000E-5
-999.9649E-9	000.0000E+0	999.9715E-9	600.0000E-5
-999.9658E-9	000.0000E+0	999.9715E-9	650.0000E-5
-999.9633E-9	000.0000E+0	999.9717E-9	700.0000E-5
-999.9592E-9	000.0000E+0	999.9716E-9	750.0000E-5
-999.9642E-9	000.0000E+0	999.9718E-9	800.0000E-5
-999.9615E-9	000.0000E+0	999.9716E-9	850.0000E-5
-999.9627E-9	000.0000E+0	999.9708E-9	900.0000E-5
-999.9637E-9	000.0000E+0	999.9715E-9	950.0000E-5
-999.9618E-9	000.0000E+0	999.9715E-9	100.0000E-4
