BI	BV	AI	AV
999.8934E-9	000.0000E+0	-999.9879E-9	-100.0000E-4
999.8849E-9	000.0000E+0	-999.9874E-9	-950.0000E-5
999.8932E-9	000.0000E+0	-999.9874E-9	-900.0000E-5
999.8952E-9	000.0000E+0	-999.9878E-9	-850.0000E-5
999.8845E-9	000.0000E+0	-999.9878E-9	-800.0000E-5
999.8799E-9	000.0000E+0	-999.9878E-9	-750.0000E-5
999.8990E-9	000.0000E+0	-999.9884E-9	-700.0000E-5
999.8961E-9	000.0000E+0	-999.9878E-9	-650.0000E-5
999.8980E-9	000.0000E+0	-999.9883E-9	-600.0000E-5
999.8890E-9	000.0000E+0	-999.9879E-9	-550.0000E-5
999.8945E-9	000.0000E+0	-999.9874E-9	-500.0000E-5
999.8893E-9	000.0000E+0	-999.9877E-9	-450.0000E-5
999.8930E-9	000.0000E+0	-999.9884E-9	-400.0000E-5
999.8884E-9	000.0000E+0	-999.9879E-9	-350.0000E-5
999.8849E-9	000.0000E+0	-999.9877E-9	-300.0000E-5
999.8981E-9	000.0000E+0	-999.9884E-9	-250.0000E-5
999.8863E-9	000.0000E+0	-999.9886E-9	-200.0000E-5
999.8837E-9	000.0000E+0	-999.9893E-9	-150.0000E-5
999.8907E-9	000.0000E+0	-999.9920E-9	-100.0000E-5
999.8987E-9	000.0000E+0	-999.9969E-9	-500.0000E-6
995.8515E-9	000.0000E+0	-995.9475E-9	000.0000E+0
962.9916E-9	000.0000E+0	-963.0817E-9	500.0000E-6
881.3284E-9	000.0000E+0	-881.3947E-9	100.0000E-5
752.0639E-9	000.0000E+0	-752.1251E-9	150.0000E-5
575.9599E-9	000.0000E+0	-575.9681E-9	200.0000E-5
364.3625E-9	000.0000E+0	-364.3339E-9	250.0000E-5
156.6105E-9	000.0000E+0	-156.5854E-9	300.0000E-5
-676.6462E-10	000.0000E+0	676.8879E-10	350.0000E-5
-337.6881E-9	000.0000E+0	337.7484E-9	400.0000E-5
-732.2452E-9	000.0000E+0	732.3694E-9	450.0000E-5
-999.9497E-9	000.0000E+0	999.9648E-9	500.0000E-5
-999.9504E-9	000.0000E+0	999.9650E-9	550.0000E-5
-999.9524E-9	000.0000E+0	999.9643E-9	600.0000E-5
-999.9512E-9	000.0000E+0	999.9642E-9	650.0000E-5
-999.9534E-9	000.0000E+0	999.9643E-9	700.0000E-5
-999.9513E-9	000.0000E+0	999.9641E-9	750.0000E-5
-999.9445E-9	000.0000E+0	999.9641E-9	800.0000E-5
-999.9491E-9	000.0000E+0	999.9649E-9	850.0000E-5
-999.9504E-9	000.0000E+0	999.9649E-9	900.0000E-5
-999.9507E-9	000.0000E+0	999.9640E-9	950.0000E-5
-999.9569E-9	000.0000E+0	999.9642E-9	100.0000E-4
