BI	BV	AI	AV
999.9001E-9	000.0000E+0	-999.9891E-9	-100.0000E-4
999.8985E-9	000.0000E+0	-999.9899E-9	-950.0000E-5
999.9012E-9	000.0000E+0	-999.9897E-9	-900.0000E-5
999.8918E-9	000.0000E+0	-999.9895E-9	-850.0000E-5
999.8973E-9	000.0000E+0	-999.9899E-9	-800.0000E-5
999.8982E-9	000.0000E+0	-999.9902E-9	-750.0000E-5
999.8994E-9	000.0000E+0	-999.9901E-9	-700.0000E-5
999.8963E-9	000.0000E+0	-999.9907E-9	-650.0000E-5
999.8965E-9	000.0000E+0	-999.9902E-9	-600.0000E-5
999.9073E-9	000.0000E+0	-999.9904E-9	-550.0000E-5
999.8923E-9	000.0000E+0	-999.9904E-9	-500.0000E-5
999.8953E-9	000.0000E+0	-999.9902E-9	-450.0000E-5
999.9117E-9	000.0000E+0	-999.9907E-9	-400.0000E-5
999.8901E-9	000.0000E+0	-999.9900E-9	-350.0000E-5
999.8977E-9	000.0000E+0	-999.9907E-9	-300.0000E-5
999.9100E-9	000.0000E+0	-999.9906E-9	-250.0000E-5
999.9081E-9	000.0000E+0	-999.9912E-9	-200.0000E-5
999.9071E-9	000.0000E+0	-999.9914E-9	-150.0000E-5
999.9058E-9	000.0000E+0	-999.9935E-9	-100.0000E-5
999.9121E-9	000.0000E+0	-999.9967E-9	-500.0000E-6
996.1634E-9	000.0000E+0	-996.2486E-9	000.0000E+0
963.8642E-9	000.0000E+0	-963.9306E-9	500.0000E-6
882.8845E-9	000.0000E+0	-882.9344E-9	100.0000E-5
753.7179E-9	000.0000E+0	-753.7452E-9	150.0000E-5
578.0549E-9	000.0000E+0	-578.0406E-9	200.0000E-5
365.8334E-9	000.0000E+0	-365.8137E-9	250.0000E-5
157.6521E-9	000.0000E+0	-157.6326E-9	300.0000E-5
-665.8856E-10	000.0000E+0	666.2626E-10	350.0000E-5
-336.8216E-9	000.0000E+0	336.8983E-9	400.0000E-5
-731.7632E-9	000.0000E+0	731.6921E-9	450.0000E-5
-999.9713E-9	000.0000E+0	999.9683E-9	500.0000E-5
-999.9616E-9	000.0000E+0	999.9681E-9	550.0000E-5
-999.9665E-9	000.0000E+0	999.9681E-9	600.0000E-5
-999.9611E-9	000.0000E+0	999.9676E-9	650.0000E-5
-999.9630E-9	000.0000E+0	999.9678E-9	700.0000E-5
-999.9659E-9	000.0000E+0	999.9675E-9	750.0000E-5
-999.9586E-9	000.0000E+0	999.9681E-9	800.0000E-5
-999.9644E-9	000.0000E+0	999.9681E-9	850.0000E-5
-999.9645E-9	000.0000E+0	999.9684E-9	900.0000E-5
-999.9668E-9	000.0000E+0	999.9681E-9	950.0000E-5
-999.9605E-9	000.0000E+0	999.9681E-9	100.0000E-4
