BI	BV	AI	AV
999.9186E-9	000.0000E+0	-999.9940E-9	-100.0000E-4
999.9146E-9	000.0000E+0	-999.9933E-9	-950.0000E-5
999.9086E-9	000.0000E+0	-999.9933E-9	-900.0000E-5
999.9159E-9	000.0000E+0	-999.9933E-9	-850.0000E-5
999.9104E-9	000.0000E+0	-999.9935E-9	-800.0000E-5
999.9214E-9	000.0000E+0	-999.9942E-9	-750.0000E-5
999.9123E-9	000.0000E+0	-999.9941E-9	-700.0000E-5
999.9120E-9	000.0000E+0	-999.9935E-9	-650.0000E-5
999.9130E-9	000.0000E+0	-999.9941E-9	-600.0000E-5
999.9073E-9	000.0000E+0	-999.9940E-9	-550.0000E-5
999.9069E-9	000.0000E+0	-999.9941E-9	-500.0000E-5
999.9230E-9	000.0000E+0	-999.9941E-9	-450.0000E-5
999.9103E-9	000.0000E+0	-999.9939E-9	-400.0000E-5
999.9104E-9	000.0000E+0	-999.9936E-9	-350.0000E-5
999.9203E-9	000.0000E+0	-999.9942E-9	-300.0000E-5
999.9158E-9	000.0000E+0	-999.9939E-9	-250.0000E-5
999.9094E-9	000.0000E+0	-999.9937E-9	-200.0000E-5
999.9113E-9	000.0000E+0	-999.9935E-9	-150.0000E-5
999.9236E-9	000.0000E+0	-999.9969E-9	-100.0000E-5
999.9256E-9	000.0000E+0	-100.0001E-8	-500.0000E-6
995.7305E-9	000.0000E+0	-995.8048E-9	000.0000E+0
962.5275E-9	000.0000E+0	-962.5873E-9	500.0000E-6
880.7133E-9	000.0000E+0	-880.7480E-9	100.0000E-5
750.4809E-9	000.0000E+0	-750.5376E-9	150.0000E-5
574.5385E-9	000.0000E+0	-574.5821E-9	200.0000E-5
362.4974E-9	000.0000E+0	-362.5331E-9	250.0000E-5
154.6865E-9	000.0000E+0	-154.6419E-9	300.0000E-5
-699.5820E-10	000.0000E+0	700.1056E-10	350.0000E-5
-341.3455E-9	000.0000E+0	341.3171E-9	400.0000E-5
-736.8603E-9	000.0000E+0	736.8121E-9	450.0000E-5
-999.9677E-9	000.0000E+0	999.9708E-9	500.0000E-5
-999.9686E-9	000.0000E+0	999.9707E-9	550.0000E-5
-999.9686E-9	000.0000E+0	999.9704E-9	600.0000E-5
-999.9704E-9	000.0000E+0	999.9703E-9	650.0000E-5
-999.9654E-9	000.0000E+0	999.9701E-9	700.0000E-5
-999.9659E-9	000.0000E+0	999.9703E-9	750.0000E-5
-999.9667E-9	000.0000E+0	999.9707E-9	800.0000E-5
-999.9656E-9	000.0000E+0	999.9710E-9	850.0000E-5
-999.9683E-9	000.0000E+0	999.9710E-9	900.0000E-5
-999.9654E-9	000.0000E+0	999.9706E-9	950.0000E-5
-999.9650E-9	000.0000E+0	999.9708E-9	100.0000E-4
