BI	BV	AI	AV
999.8961E-9	000.0000E+0	-999.9883E-9	-100.0000E-4
999.9087E-9	000.0000E+0	-999.9881E-9	-950.0000E-5
999.8942E-9	000.0000E+0	-999.9883E-9	-900.0000E-5
999.9006E-9	000.0000E+0	-999.9886E-9	-850.0000E-5
999.9067E-9	000.0000E+0	-999.9893E-9	-800.0000E-5
999.8957E-9	000.0000E+0	-999.9890E-9	-750.0000E-5
999.8981E-9	000.0000E+0	-999.9889E-9	-700.0000E-5
999.8972E-9	000.0000E+0	-999.9889E-9	-650.0000E-5
999.9131E-9	000.0000E+0	-999.9887E-9	-600.0000E-5
999.8896E-9	000.0000E+0	-999.9884E-9	-550.0000E-5
999.8895E-9	000.0000E+0	-999.9887E-9	-500.0000E-5
999.9012E-9	000.0000E+0	-999.9893E-9	-450.0000E-5
999.9015E-9	000.0000E+0	-999.9893E-9	-400.0000E-5
999.9005E-9	000.0000E+0	-999.9891E-9	-350.0000E-5
999.9093E-9	000.0000E+0	-999.9895E-9	-300.0000E-5
999.9067E-9	000.0000E+0	-999.9887E-9	-250.0000E-5
999.9085E-9	000.0000E+0	-999.9889E-9	-200.0000E-5
999.9100E-9	000.0000E+0	-999.9894E-9	-150.0000E-5
999.9100E-9	000.0000E+0	-999.9910E-9	-100.0000E-5
999.9131E-9	000.0000E+0	-999.9935E-9	-500.0000E-6
996.4826E-9	000.0000E+0	-996.5643E-9	000.0000E+0
964.5403E-9	000.0000E+0	-964.6175E-9	500.0000E-6
883.7474E-9	000.0000E+0	-883.8197E-9	100.0000E-5
754.9337E-9	000.0000E+0	-754.9945E-9	150.0000E-5
579.9699E-9	000.0000E+0	-579.9811E-9	200.0000E-5
368.4341E-9	000.0000E+0	-368.3208E-9	250.0000E-5
159.7903E-9	000.0000E+0	-159.8129E-9	300.0000E-5
-646.9815E-10	000.0000E+0	646.7160E-10	350.0000E-5
-334.5696E-9	000.0000E+0	334.6464E-9	400.0000E-5
-728.8559E-9	000.0000E+0	728.9517E-9	450.0000E-5
-999.9559E-9	000.0000E+0	999.9662E-9	500.0000E-5
-999.9540E-9	000.0000E+0	999.9663E-9	550.0000E-5
-999.9567E-9	000.0000E+0	999.9658E-9	600.0000E-5
-999.9543E-9	000.0000E+0	999.9663E-9	650.0000E-5
-999.9538E-9	000.0000E+0	999.9657E-9	700.0000E-5
-999.9519E-9	000.0000E+0	999.9665E-9	750.0000E-5
-999.9528E-9	000.0000E+0	999.9666E-9	800.0000E-5
-999.9548E-9	000.0000E+0	999.9669E-9	850.0000E-5
-999.9558E-9	000.0000E+0	999.9668E-9	900.0000E-5
-999.9575E-9	000.0000E+0	999.9662E-9	950.0000E-5
-999.9570E-9	000.0000E+0	999.9668E-9	100.0000E-4
