BI	BV	AI	AV
999.9383E-9	000.0000E+0	-999.9949E-9	-100.0000E-4
999.9397E-9	000.0000E+0	-999.9952E-9	-995.0000E-5
999.9368E-9	000.0000E+0	-999.9952E-9	-990.0000E-5
999.9283E-9	000.0000E+0	-999.9953E-9	-985.0000E-5
999.9404E-9	000.0000E+0	-999.9951E-9	-980.0000E-5
999.9394E-9	000.0000E+0	-999.9953E-9	-975.0000E-5
999.9371E-9	000.0000E+0	-999.9955E-9	-970.0000E-5
999.9377E-9	000.0000E+0	-999.9948E-9	-965.0000E-5
999.9254E-9	000.0000E+0	-999.9950E-9	-960.0000E-5
999.9314E-9	000.0000E+0	-999.9948E-9	-955.0000E-5
999.9386E-9	000.0000E+0	-999.9953E-9	-950.0000E-5
999.9374E-9	000.0000E+0	-999.9949E-9	-945.0000E-5
999.9349E-9	000.0000E+0	-999.9949E-9	-940.0000E-5
999.9345E-9	000.0000E+0	-999.9952E-9	-935.0000E-5
999.9268E-9	000.0000E+0	-999.9949E-9	-930.0000E-5
999.9301E-9	000.0000E+0	-999.9949E-9	-925.0000E-5
999.9432E-9	000.0000E+0	-999.9953E-9	-920.0000E-5
999.9433E-9	000.0000E+0	-999.9948E-9	-915.0000E-5
999.9263E-9	000.0000E+0	-999.9953E-9	-910.0000E-5
999.9385E-9	000.0000E+0	-999.9952E-9	-905.0000E-5
999.9266E-9	000.0000E+0	-999.9947E-9	-900.0000E-5
999.9342E-9	000.0000E+0	-999.9949E-9	-895.0000E-5
999.9402E-9	000.0000E+0	-999.9955E-9	-890.0000E-5
999.9400E-9	000.0000E+0	-999.9955E-9	-885.0000E-5
999.9447E-9	000.0000E+0	-999.9951E-9	-880.0000E-5
999.9374E-9	000.0000E+0	-999.9956E-9	-875.0000E-5
999.9354E-9	000.0000E+0	-999.9956E-9	-870.0000E-5
999.9342E-9	000.0000E+0	-999.9950E-9	-865.0000E-5
999.9301E-9	000.0000E+0	-999.9947E-9	-860.0000E-5
999.9359E-9	000.0000E+0	-999.9953E-9	-855.0000E-5
999.9386E-9	000.0000E+0	-999.9958E-9	-850.0000E-5
999.9352E-9	000.0000E+0	-999.9951E-9	-845.0000E-5
999.9302E-9	000.0000E+0	-999.9958E-9	-840.0000E-5
999.9391E-9	000.0000E+0	-999.9956E-9	-835.0000E-5
999.9303E-9	000.0000E+0	-999.9956E-9	-830.0000E-5
999.9382E-9	000.0000E+0	-999.9957E-9	-825.0000E-5
999.9371E-9	000.0000E+0	-999.9955E-9	-820.0000E-5
999.9279E-9	000.0000E+0	-999.9956E-9	-815.0000E-5
999.9263E-9	000.0000E+0	-999.9956E-9	-810.0000E-5
999.9361E-9	000.0000E+0	-999.9953E-9	-805.0000E-5
999.9286E-9	000.0000E+0	-999.9961E-9	-800.0000E-5
999.9258E-9	000.0000E+0	-999.9956E-9	-795.0000E-5
999.9359E-9	000.0000E+0	-999.9956E-9	-790.0000E-5
999.9272E-9	000.0000E+0	-999.9947E-9	-785.0000E-5
999.9369E-9	000.0000E+0	-999.9950E-9	-780.0000E-5
999.9289E-9	000.0000E+0	-999.9956E-9	-775.0000E-5
999.9343E-9	000.0000E+0	-999.9948E-9	-770.0000E-5
999.9244E-9	000.0000E+0	-999.9956E-9	-765.0000E-5
999.9191E-9	000.0000E+0	-999.9948E-9	-760.0000E-5
999.9256E-9	000.0000E+0	-999.9950E-9	-755.0000E-5
999.9229E-9	000.0000E+0	-999.9950E-9	-750.0000E-5
999.9110E-9	000.0000E+0	-999.9949E-9	-745.0000E-5
999.9214E-9	000.0000E+0	-999.9951E-9	-740.0000E-5
999.9301E-9	000.0000E+0	-999.9956E-9	-735.0000E-5
999.9345E-9	000.0000E+0	-999.9951E-9	-730.0000E-5
999.9260E-9	000.0000E+0	-999.9956E-9	-725.0000E-5
999.9237E-9	000.0000E+0	-999.9960E-9	-720.0000E-5
999.9343E-9	000.0000E+0	-999.9957E-9	-715.0000E-5
999.9281E-9	000.0000E+0	-999.9952E-9	-710.0000E-5
999.9371E-9	000.0000E+0	-999.9952E-9	-705.0000E-5
999.9281E-9	000.0000E+0	-999.9949E-9	-700.0000E-5
999.9303E-9	000.0000E+0	-999.9950E-9	-695.0000E-5
999.9404E-9	000.0000E+0	-999.9956E-9	-690.0000E-5
999.9261E-9	000.0000E+0	-999.9955E-9	-685.0000E-5
999.9223E-9	000.0000E+0	-999.9952E-9	-680.0000E-5
999.9246E-9	000.0000E+0	-999.9950E-9	-675.0000E-5
999.9238E-9	000.0000E+0	-999.9952E-9	-670.0000E-5
999.9255E-9	000.0000E+0	-999.9953E-9	-665.0000E-5
999.9276E-9	000.0000E+0	-999.9956E-9	-660.0000E-5
999.9260E-9	000.0000E+0	-999.9949E-9	-655.0000E-5
999.9299E-9	000.0000E+0	-999.9951E-9	-650.0000E-5
999.9203E-9	000.0000E+0	-999.9950E-9	-645.0000E-5
999.9354E-9	000.0000E+0	-999.9955E-9	-640.0000E-5
999.9281E-9	000.0000E+0	-999.9948E-9	-635.0000E-5
999.9283E-9	000.0000E+0	-999.9949E-9	-630.0000E-5
999.9211E-9	000.0000E+0	-999.9953E-9	-625.0000E-5
999.9270E-9	000.0000E+0	-999.9950E-9	-620.0000E-5
999.9268E-9	000.0000E+0	-999.9950E-9	-615.0000E-5
999.9253E-9	000.0000E+0	-999.9950E-9	-610.0000E-5
999.9287E-9	000.0000E+0	-999.9949E-9	-605.0000E-5
999.9368E-9	000.0000E+0	-999.9953E-9	-600.0000E-5
999.9244E-9	000.0000E+0	-999.9953E-9	-595.0000E-5
999.9283E-9	000.0000E+0	-999.9951E-9	-590.0000E-5
999.9267E-9	000.0000E+0	-999.9956E-9	-585.0000E-5
999.9198E-9	000.0000E+0	-999.9950E-9	-580.0000E-5
999.9339E-9	000.0000E+0	-999.9953E-9	-575.0000E-5
999.9236E-9	000.0000E+0	-999.9956E-9	-570.0000E-5
999.9103E-9	000.0000E+0	-999.9945E-9	-565.0000E-5
999.9289E-9	000.0000E+0	-999.9949E-9	-560.0000E-5
999.9260E-9	000.0000E+0	-999.9949E-9	-555.0000E-5
999.9229E-9	000.0000E+0	-999.9953E-9	-550.0000E-5
999.9176E-9	000.0000E+0	-999.9950E-9	-545.0000E-5
999.9284E-9	000.0000E+0	-999.9949E-9	-540.0000E-5
999.9322E-9	000.0000E+0	-999.9953E-9	-535.0000E-5
999.9426E-9	000.0000E+0	-999.9951E-9	-530.0000E-5
999.9255E-9	000.0000E+0	-999.9953E-9	-525.0000E-5
999.9294E-9	000.0000E+0	-999.9956E-9	-520.0000E-5
999.9249E-9	000.0000E+0	-999.9950E-9	-515.0000E-5
999.9285E-9	000.0000E+0	-999.9951E-9	-510.0000E-5
999.9205E-9	000.0000E+0	-999.9952E-9	-505.0000E-5
999.9270E-9	000.0000E+0	-999.9957E-9	-500.0000E-5
999.9354E-9	000.0000E+0	-999.9956E-9	-495.0000E-5
999.9260E-9	000.0000E+0	-999.9953E-9	-490.0000E-5
999.9352E-9	000.0000E+0	-999.9957E-9	-485.0000E-5
999.9263E-9	000.0000E+0	-999.9953E-9	-480.0000E-5
999.9402E-9	000.0000E+0	-999.9953E-9	-475.0000E-5
999.9270E-9	000.0000E+0	-999.9953E-9	-470.0000E-5
999.9254E-9	000.0000E+0	-999.9949E-9	-465.0000E-5
999.9369E-9	000.0000E+0	-999.9956E-9	-460.0000E-5
999.9258E-9	000.0000E+0	-999.9949E-9	-455.0000E-5
999.9327E-9	000.0000E+0	-999.9956E-9	-450.0000E-5
999.9364E-9	000.0000E+0	-999.9956E-9	-445.0000E-5
999.9244E-9	000.0000E+0	-999.9952E-9	-440.0000E-5
999.9268E-9	000.0000E+0	-999.9957E-9	-435.0000E-5
999.9351E-9	000.0000E+0	-999.9953E-9	-430.0000E-5
