BI	BV	AI	AV
999.9141E-9	000.0000E+0	-999.9943E-9	-100.0000E-4
999.9263E-9	000.0000E+0	-999.9944E-9	-950.0000E-5
999.9164E-9	000.0000E+0	-999.9948E-9	-900.0000E-5
999.9250E-9	000.0000E+0	-999.9949E-9	-850.0000E-5
999.9184E-9	000.0000E+0	-999.9947E-9	-800.0000E-5
999.9166E-9	000.0000E+0	-999.9953E-9	-750.0000E-5
999.9164E-9	000.0000E+0	-999.9950E-9	-700.0000E-5
999.9147E-9	000.0000E+0	-999.9955E-9	-650.0000E-5
999.9121E-9	000.0000E+0	-999.9953E-9	-600.0000E-5
999.9272E-9	000.0000E+0	-999.9951E-9	-550.0000E-5
999.9218E-9	000.0000E+0	-999.9955E-9	-500.0000E-5
999.9247E-9	000.0000E+0	-999.9957E-9	-450.0000E-5
999.9191E-9	000.0000E+0	-999.9959E-9	-400.0000E-5
999.9325E-9	000.0000E+0	-999.9957E-9	-350.0000E-5
999.9238E-9	000.0000E+0	-999.9957E-9	-300.0000E-5
999.9309E-9	000.0000E+0	-999.9958E-9	-250.0000E-5
999.9173E-9	000.0000E+0	-999.9960E-9	-200.0000E-5
999.9081E-9	000.0000E+0	-999.9973E-9	-150.0000E-5
999.9113E-9	000.0000E+0	-999.9953E-9	-100.0000E-5
999.9193E-9	000.0000E+0	-100.0002E-8	-500.0000E-6
996.5548E-9	000.0000E+0	-996.6290E-9	000.0000E+0
963.9790E-9	000.0000E+0	-964.0495E-9	500.0000E-6
882.9655E-9	000.0000E+0	-883.0424E-9	100.0000E-5
753.7998E-9	000.0000E+0	-753.8177E-9	150.0000E-5
578.2110E-9	000.0000E+0	-578.1974E-9	200.0000E-5
366.1498E-9	000.0000E+0	-366.1126E-9	250.0000E-5
158.1876E-9	000.0000E+0	-158.2192E-9	300.0000E-5
-657.9449E-10	000.0000E+0	658.4754E-10	350.0000E-5
-335.7035E-9	000.0000E+0	335.7708E-9	400.0000E-5
-729.9070E-9	000.0000E+0	729.9914E-9	450.0000E-5
-999.9713E-9	000.0000E+0	999.9717E-9	500.0000E-5
-999.9704E-9	000.0000E+0	999.9716E-9	550.0000E-5
-999.9683E-9	000.0000E+0	999.9713E-9	600.0000E-5
-999.9721E-9	000.0000E+0	999.9711E-9	650.0000E-5
-999.9658E-9	000.0000E+0	999.9708E-9	700.0000E-5
-999.9649E-9	000.0000E+0	999.9713E-9	750.0000E-5
-999.9676E-9	000.0000E+0	999.9713E-9	800.0000E-5
-999.9716E-9	000.0000E+0	999.9710E-9	850.0000E-5
-999.9644E-9	000.0000E+0	999.9717E-9	900.0000E-5
-999.9690E-9	000.0000E+0	999.9716E-9	950.0000E-5
-999.9665E-9	000.0000E+0	999.9710E-9	100.0000E-4
